,category,context,question,response,instruction,prompt,eval_prompt,model_generation,model_response
0,open_qa,Ram ra Sita,Ek jodakhat lekhidinus.,Ram ra Sita park ma ghumiraheka chhan.,You are a helpful assistant. Answer the given user question.,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Ek jodakhat lekhidinus.
Context: Ram ra Sita<end_of_turn>
<start_of_turn>model
Ram ra Sita park ma ghumiraheka chhan.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Ek jodakhat lekhidinus.
Context: Ram ra Sita<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Ek jodakhat lekhidinus.
Context: Ram ra Sita<end_of_turn>
<start_of_turn>model
Ram ra Sita ko bhartiya katha ho, jasma ram le Sita ko raksha garyo.<eos>","Ram ra Sita ko bhartiya katha ho, jasma ram le Sita ko raksha garyo."
1,RAG,"LG 55-inch OLED TV ek premium television ho. yeskoprice 200000 ho. Yesma OLED display, Dolby Vision, AI-powered 4K upscaling, ra built-in Alexa support cha. Hami sanga yo TV stock ma available cha.",LG 55-inch OLED TV available cha?,"LG 55-inch OLED TV stock ma available cha. Yesko price 200000 ho. Yesma OLED display, Dolby Vision, AI-powered 4K upscaling, ra built-in Alexa support cha.",Answer the following question by looking at the context if context is given.,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
LG 55-inch OLED TV available cha?
Context: LG 55-inch OLED TV ek premium television ho. yeskoprice 200000 ho. Yesma OLED display, Dolby Vision, AI-powered 4K upscaling, ra built-in Alexa support cha. Hami sanga yo TV stock ma available cha.<end_of_turn>
<start_of_turn>model
LG 55-inch OLED TV stock ma available cha. Yesko price 200000 ho. Yesma OLED display, Dolby Vision, AI-powered 4K upscaling, ra built-in Alexa support cha.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
LG 55-inch OLED TV available cha?
Context: LG 55-inch OLED TV ek premium television ho. yeskoprice 200000 ho. Yesma OLED display, Dolby Vision, AI-powered 4K upscaling, ra built-in Alexa support cha. Hami sanga yo TV stock ma available cha.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
LG 55-inch OLED TV available cha?
Context: LG 55-inch OLED TV ek premium television ho. yeskoprice 200000 ho. Yesma OLED display, Dolby Vision, AI-powered 4K upscaling, ra built-in Alexa support cha. Hami sanga yo TV stock ma available cha.<end_of_turn>
<start_of_turn>model
LG 55-inch OLED TV available cha. Yesko price 200000 ho, ra yesma OLED display, Dolby Vision, AI-powered 4K upscaling, ra built-in Alexa support cha.<eos>","LG 55-inch OLED TV available cha. Yesko price 200000 ho, ra yesma OLED display, Dolby Vision, AI-powered 4K upscaling, ra built-in Alexa support cha."
2,open_qa, ,Nepali ma ek prasiddha tiyaar festival ko naam dinus.,Tihar.,You are a helpful assistant. Answer the given user question.,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Nepali ma ek prasiddha tiyaar festival ko naam dinus.<end_of_turn>
<start_of_turn>model
Tihar.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Nepali ma ek prasiddha tiyaar festival ko naam dinus.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Nepali ma ek prasiddha tiyaar festival ko naam dinus.<end_of_turn>
<start_of_turn>model
Dashain<eos>",Dashain
3,alpaca, ,Nepal ko National Flower ko naam ra color bhanera bataa.,"Nepal ko National Flower ho Laliguras, jun red color ko huncha.", ,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Nepal ko National Flower ko naam ra color bhanera bataa.<end_of_turn>
<start_of_turn>model
Nepal ko National Flower ho Laliguras, jun red color ko huncha.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Nepal ko National Flower ko naam ra color bhanera bataa.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Nepal ko National Flower ko naam ra color bhanera bataa.<end_of_turn>
<start_of_turn>model
Nepal ko National Flower 'Lali Gurans' ho, ra isko color red huncha.<eos>","Nepal ko National Flower 'Lali Gurans' ho, ra isko color red huncha."
4,alpaca,"Mutual funds ma invest garna, registered broker ya financial institution ma jaane. Mutual fund ko types (equity, debt, hybrid) hernu, ra afno risk tolerance anusar fund select garnu. SIP (Systematic Investment Plan) pani use garna sakincha.",Stock market ma mutual funds kasari invest garne?,"Mutual funds ma invest garna, registered broker ya financial institution ma jaane. Mutual fund ko types hernu, ra afno risk tolerance anusar fund select garnu. SIP pani use garna sakincha.", ,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Stock market ma mutual funds kasari invest garne?
Context: Mutual funds ma invest garna, registered broker ya financial institution ma jaane. Mutual fund ko types (equity, debt, hybrid) hernu, ra afno risk tolerance anusar fund select garnu. SIP (Systematic Investment Plan) pani use garna sakincha.<end_of_turn>
<start_of_turn>model
Mutual funds ma invest garna, registered broker ya financial institution ma jaane. Mutual fund ko types hernu, ra afno risk tolerance anusar fund select garnu. SIP pani use garna sakincha.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Stock market ma mutual funds kasari invest garne?
Context: Mutual funds ma invest garna, registered broker ya financial institution ma jaane. Mutual fund ko types (equity, debt, hybrid) hernu, ra afno risk tolerance anusar fund select garnu. SIP (Systematic Investment Plan) pani use garna sakincha.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Stock market ma mutual funds kasari invest garne?
Context: Mutual funds ma invest garna, registered broker ya financial institution ma jaane. Mutual fund ko types (equity, debt, hybrid) hernu, ra afno risk tolerance anusar fund select garnu. SIP (Systematic Investment Plan) pani use garna sakincha.<end_of_turn>
<start_of_turn>model
Mutual funds ma invest garna registered broker ya financial institution ma jaane. Fund select garera SIP ma invest garera regular investment garnu.<eos>",Mutual funds ma invest garna registered broker ya financial institution ma jaane. Fund select garera SIP ma invest garera regular investment garnu.
5,translate, ,Naya shikshya prakriyako uddeshya sabai bidyarthiharulai uniharu ko pachhauko barema bina samana avasar pradan garnu ho.,"The new educational initiative aims to provide equal opportunities for all students, regardless of their background.",Translate the text below from Nepali to English:,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from Nepali to English:
Naya shikshya prakriyako uddeshya sabai bidyarthiharulai uniharu ko pachhauko barema bina samana avasar pradan garnu ho.<end_of_turn>
<start_of_turn>model
The new educational initiative aims to provide equal opportunities for all students, regardless of their background.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from Nepali to English:
Naya shikshya prakriyako uddeshya sabai bidyarthiharulai uniharu ko pachhauko barema bina samana avasar pradan garnu ho.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from Nepali to English:
Naya shikshya prakriyako uddeshya sabai bidyarthiharulai uniharu ko pachhauko barema bina samana avasar pradan garnu ho.<end_of_turn>
<start_of_turn>model
The purpose of the new education system is to provide equal opportunity to all students to learn about their strengths.<eos>",The purpose of the new education system is to provide equal opportunity to all students to learn about their strengths.
6,open_qa, ,Nepal ma sabai bhanda uchcha tower kun ho?,Dharahara (reconstructed).,You are a helpful assistant. Answer the given user question.,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Nepal ma sabai bhanda uchcha tower kun ho?<end_of_turn>
<start_of_turn>model
Dharahara (reconstructed).","<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Nepal ma sabai bhanda uchcha tower kun ho?<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Nepal ma sabai bhanda uchcha tower kun ho?<end_of_turn>
<start_of_turn>model
Nepal ma sabai bhanda uchcha tower Khumbu Glacier ho, jun 26,000 feet ko uchai ma cha.<eos>","Nepal ma sabai bhanda uchcha tower Khumbu Glacier ho, jun 26,000 feet ko uchai ma cha."
7,open_qa, ,Nepali dharmik parva ko ek udaharan ra tyo ko mahatwa lekhnu.,"Shivaratri ek dharmik parva ho, jun shiva bhakt haru dwara manaiincha ra bhakti ko abhilasha ko pratik ho.",You are a helpful assistant. Answer the given user question.,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Nepali dharmik parva ko ek udaharan ra tyo ko mahatwa lekhnu.<end_of_turn>
<start_of_turn>model
Shivaratri ek dharmik parva ho, jun shiva bhakt haru dwara manaiincha ra bhakti ko abhilasha ko pratik ho.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Nepali dharmik parva ko ek udaharan ra tyo ko mahatwa lekhnu.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Nepali dharmik parva ko ek udaharan ra tyo ko mahatwa lekhnu.<end_of_turn>
<start_of_turn>model
Teej ek dharmik parva ho, jun ma kanya haru le afno jeevan ko safalta ra sundarta ko artha ma pujjan garincha.<eos>","Teej ek dharmik parva ho, jun ma kanya haru le afno jeevan ko safalta ra sundarta ko artha ma pujjan garincha."
8,RAG,"Accepted Payment Methods: Credit/Debit Card, Esewa, Khalti, Cash on Delivery.",Payment garna ko lagi payment gateway down bhayo bhane ke garnu?,"Hajur, payment gateway down bhayo bhane kehi samaya pachi feri try garnuhos ya arko payment method use garnuhos. Website ma updates ko lagi hernu hola.",Answer the following question by looking at the context if context is given.,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Payment garna ko lagi payment gateway down bhayo bhane ke garnu?
Context: Accepted Payment Methods: Credit/Debit Card, Esewa, Khalti, Cash on Delivery.<end_of_turn>
<start_of_turn>model
Hajur, payment gateway down bhayo bhane kehi samaya pachi feri try garnuhos ya arko payment method use garnuhos. Website ma updates ko lagi hernu hola.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Payment garna ko lagi payment gateway down bhayo bhane ke garnu?
Context: Accepted Payment Methods: Credit/Debit Card, Esewa, Khalti, Cash on Delivery.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Payment garna ko lagi payment gateway down bhayo bhane ke garnu?
Context: Accepted Payment Methods: Credit/Debit Card, Esewa, Khalti, Cash on Delivery.<end_of_turn>
<start_of_turn>model
Hajur, payment gateway down bhayo bhane ahile arko payment method use garnu hola.<eos>","Hajur, payment gateway down bhayo bhane ahile arko payment method use garnu hola."
9,translate, ,Tapai le chai yo decision kasari linu bho?,How did you make this decision?,"Translate the given text from Roman Nepali language to English language.
","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the given text from Roman Nepali language to English language.

Tapai le chai yo decision kasari linu bho?<end_of_turn>
<start_of_turn>model
How did you make this decision?","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the given text from Roman Nepali language to English language.

Tapai le chai yo decision kasari linu bho?<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the given text from Roman Nepali language to English language.

Tapai le chai yo decision kasari linu bho?<end_of_turn>
<start_of_turn>model
How did you make this decision?<eos>",How did you make this decision?
