,category,system,instruction,context,question,response
0,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepali balbalika ko manobal kasari badhaune?,"Balbalika lai utsah dina, uniharuko samasya sunnu, ra uniharuko safalta ko prashansa garnu parcha."
1,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Health products platform le vitamins, supplements, ra personal care items provide garcha. Delivery time 3-6 din ho, ra return policy defective products ko lagi 7 din samma applicable cha. COD option sabai locations ma available cha.",Health supplements ko expiry date confirm kasari garna sakchhu?,"Health supplements ko expiry date product page ma 'Details' section ma mentioned cha, ya packaging ma clearly printed huncha."
2,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Ghar ko paint kasari ramailo banaune?,"Ghar ko paint ramailo banauna contrast color use garera, halko design add garera paint garna parcha."
3,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.","Courier Return Policy: Customers can return products via courier if pick-up services are unavailable. Visit the 'Returns' section in your account, generate a return ID, and download the courier label. Send the product to the mentioned address and upload the courier receipt for refund processing.",Kasari courier return policy ko barema jankari lina sakincha?,Courier return ko lagi 'Returns' section ma return ID generate garera courier label download garnus. Receipt upload pachi refund process suru huncha.
4,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Nepal ko ek prasiddha mithai sel roti ho, jo tyohar ra parivarik samaaroh haru ma banincha. Sel roti, methi ra chhaange le banaiyeko ek prakar ko mithai ho, jo golgappa jasto dikchha.",Nepal ko ek prasiddha mithai k ho?,"Sel roti, Nepal ko ek prasiddha mithai ho."
5,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,"yo art gallery ko visit ekdam meaningful lagyo. ma ta creative energy ko feel garna thale, ani aba chai afno artwork ma kasari improve garne bhanera socheko chu.","Visiting this art gallery felt so meaningful. I started feeling creative energy, and now I'm thinking about how to improve my own artwork."
6,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali Language language.,,The startup launched an online platform for freelancers to connect with clients and find new projects.,Startup le freelancers haru lai clients sanga connect garne ra naya projects khojne online platform launch garayo.
7,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepal ma digital literacy kasari badhaune?,Digital literacy badhaune ko lagi rural areas ma affordable internet access ko suvidha suru garne. Schools ma technology use garera digital learning introduce garne. Free workshops ani training centers le computer ani smartphone use sikhne platform provide garne. Local language ma apps ani tools develop garera accessibility ensure garne. Government ko programs le digital inclusion promote garna sakcha.
8,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",Happiness,Yo English word ko Nepali meaning lekhnus.,Khushi
9,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepal ma sabai bhanda uchcha airport kun ho?,Tenzing-Hillary Airport (Lukla).
10,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Bandipur, ek charming hilltop town, Tanahun district ma cha. Yaha ko picturesque landscape, traditional houses, ra clean environment le visitors ko dil jeetcha. Bandipur ma hiking trails ra cultural experiences pani available cha.",Bandipur kahaan cha?,"Bandipur Tanahun district ko ek hilltop town ho, jaha picturesque landscapes ra traditional houses cha."
11,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali Language language.,,The customer service representative was very polite and resolved my issue efficiently within a few minutes.,Grahaak seva pratinidhi ekdam namra thie ra tinle mero samasya kehi minutes bhitra chakchake sanga samadhan gare.
12,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali Language language.,,The bakery was filled with the smell of freshly baked pastries.,Bakery taaja pakeko mithai ko sugandha le bharincha.
13,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali Language language.,,The siblings fought over the last piece of chocolate but ended up sharing it.,"Dai bahini haru last chocolate ko lagi jhagadcha, tara ant ma share gardai khanchan."
14,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali Language language.,,The teacher explained the difficult concept with such clarity and patience that all the students were able to understand it easily.,Teacher le muskil concept lai yasto spaashta ra dhairyata sanga samjhaune garyo ki sabai students asani sanga bujhe.
15,summary,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

",Summarize the following text in Roman Nepali,,Manang ma paryatak haru ko lagi anek adventure karyakram haru milchhan. Trekking ra hiking yaha ko mukhya karyakram ho.,Manang ma trekking ra hiking ko adventure karyakram chhan.
16,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,yo semester ma dherai assignments ko workload thiyo. tara aba finals ko lagi pura concentrate garna parcha bhanera schedule tight banaye.,This semester had a heavy workload of assignments. But now I've made a tight schedule to concentrate fully on the finals.
17,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Nepal ma sabai bhanda safal karyakram Loktantra diwas ho, jaha Nepal ko loktantrik vyavastha ra gramin chetna ko safalta ko jashn manincha. Loktantra diwas, Nepal ko loktantrik itihas ko ek mahatvapurn hissa ho, jaha 2006 ko janaandolan ra rajnaitik pragati ko ek safalta ko roop manincha. Loktantra diwas ko yatra, ra rajnaitik vyavastha ko ek naye adhyay ko shuruaat garincha.",Nepal ma sabai bhanda safal karyakram k ho?,"Loktantra diwas, Nepal ko sabai bhanda safal karyakram ho, jaha loktantrik safalta ra Nepal ko rajnaitik pragati ko jashn manincha."
18,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali Language language.,,We played cards late into the night and laughed at each other's jokes.,"Hami raat samma taas kheldai, ek arko ko joke ma hasaune time bitayo."
19,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,World ma sabai bhanda dherai kathmandu jasto traffic kaha cha?,"Mumbai, India ma."
20,summary,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

",Summarize the following text in Roman Nepali,,Ek chhoro le afno gaun ko purano ghar ko samrakshan garna nirnay gare. Usko prayash le gaun ko sanskriti ko garima hercha garne aasha jagayo.,Chhorale purano ghar samrakshan garera sanskritiko garima sambhaale.
21,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepal ma prayog hune upayogi jadibuti ko naam lekhnu.,"Yarsa Gumba, Satuwa, Chiraito, ra Bojho Nepal ma upayogi jadibuti hun."
22,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Nepal ko ek prasiddha museum Patan Museum ho, jo Patan Durbar Square ma sthit cha. Patan Museum, Nepali kala, sanskriti ra itihaas ko pradarshini ho.",Nepal ko ek prasiddha museum k ho?,"Patan Museum, Nepal ko ek prasiddha museum ho."
23,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Cycle ko brake ramro sang kaam nagarda k garna parcha?,"Cycle ko brake ramro sang kaam nagarda brake pad check garera tension tighten garna parcha, ya brake cable replace garna parcha."
24,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali Language language.,,"The festival brought the whole community together, with music, dancing, and delicious food.","Parva le pura community ekai thau ma sametyo, geet, nach ra mitho khana sangai."
25,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Mobile ma app kasari download garne?,"Play Store ya App Store kholera app ko naam search garne, ani 'Install' button thoknu parcha."
26,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,AI bhaneko k ho bhanera lekha.,AI bhaneko Artificial Intelligence ho. Yo computer harulai manche jasto sochnu ra kaam garna sikhaune technology ho. Jasle ghara maa basera ni kaam sajilo banaucha.
27,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Chitwan National Park Nepal ko sabai bhanda purano national park ho, jun rhino, tiger, ra gharial crocodile ko lagi prasiddha chha. Yaha jeep safari, canoeing, ra Tharu sanskriti ko program ma bhag linna milchha.",Chitwan National Park ma ke ke garna milchha?,"Chitwan National Park ma jeep safari, canoeing, ra Tharu sanskriti ko program ma bhag linna milchha."
28,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Bachha lai khana khuwauna sajilo banaune tips dinuhos.,"Bachha lai khana khuwauna ramro presentation garera, alikati story banayera, ra uniharuko manparne taste ko khana tayar garnuhos."
29,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Nepal ma prasiddha masala garam masala ho, jo khana ma swad badhaune liye prayog garincha. Garam masala ko ingredients ma jeera, dhaniya, elaichi, ra laung jasta masala haru sammilit hunchha.",Nepal ma prasiddha masala k ho?,"Garam masala, Nepal ma prasiddha masala ho, jo khana ma swad badhaune liye prayog garincha."
30,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Good habits kasari develop garne?,"Good habits develop garna small steps bata suru garne, consistency maintain garne ani negative habits gradually hataune parcha."
31,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,yo kaha bata kinchau?,Where do you buy this from?
32,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,Hamro team ko output ta expected result jasto nai cha.,Our teamâ€™s output is exactly as expected.
33,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Manche ko sabai bhanda sensitive ang kun ho?,Jibro (tongue).
34,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",39,Yo sankhya prime ho ki hoina patta laganuhos.,"Hoina, 39 prime sankhya hoina."
35,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,"aaja maile mero nani sanga pura din indoor games khelera ramailo gare. aba ta usle ta ludo, carrom board, ra uno jasto game ma continuously jitera pura excitement le bharyo. usko smile herera pura stress ta remove bhae jasto lagcha ani aba aba maile realize gare ki time spent with family ekdam important cha.","Today, I spent the whole day playing indoor games with my child. She kept winning games like Ludo, Carrom Board, and Uno, which filled her with so much excitement. Watching her smile felt like all my stress vanished, and I realized how important it is to spend time with family."
36,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Hawa-maan sammandhi suchana kasari paune?,"Hawa-maan sammandhi suchana internet, TV, radio ko news ya taaja weather apps bata pauna sakinchha."
37,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,"Maile mobile plug ma lagako, battery charge hune bhanne kasari tha huncha?","Screen ma charging symbol aunecha, ani battery bar increase hunecha."
38,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Nepal ma sabai bhanda badhi jansankhya walo nagar Kathmandu ho, jo Nepal ko rajdhani ho. Kathmandu ko jansankhya 1.5 million bhanda badhi cha.",Nepal ma sabai bhanda badhi jansankhya walo nagar kun ho?,Nepal ma sabai bhanda badhi jansankhya walo nagar Kathmandu ho.
39,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali language.,,"The local community center hosted a weekend workshop where people learned new skills like painting, cooking, and gardening, creating a friendly and supportive environment.","Sthaniya samuday kendra le haptanta workshop ayojana garyo jaha manche haru painting, cooking ra gardening jasto naya skills sikdai mitra ra sahayogi mahol banaye."
40,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Batti bali rakhne time ma alikati dhoop jalauchha ki jalauchha?,"Ho, dhoop jalayera ghrina ko positive vibe aauchha."
41,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.","Coupons: To apply a coupon, enter the coupon code in the 'Apply Coupon' section during checkout. Ensure the coupon is valid and meets the minimum order value. Discounts are applied immediately, and the final price reflects the coupon benefits.",Kasari coupons apply garna sakincha?,Coupons apply garna checkout ma 'Apply Coupon' section ma code enter garnus.
42,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",50,Yo sankhya perfect square ho ki hoina bhanera patta laganuhos.,"Hoina, 50 perfect square hoina."
43,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Tapai Nepali ma email address kasari lekhnuhuncha?,"English ma lekhinchha (e.g., example@gmail.com)."
44,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,hijo maile ekdam ramro book padheko thiyo. aba usko sequel ko wait garna parcha.,"Yesterday, I read a really good book. Now, I need to wait for its sequel."
45,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Electric vehicles future ma kasto role khelne chha? Lekhnuhos.,Electric vehicles future ma pollution control ra energy conservation ma ekdam important role khelne chha. Aba fossil fuels ko jagga le renewable energy ko importance badcha.
46,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepal ko sabai bhanda purano thau kun ho?,Lumbini.
47,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Hawa ko gati taudai garda k hunchha?,Hawa ko gati taudai garda awaj ko gati badcha ra taudai le barshi grahaima prabhav parna sakcha.
48,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu",Warranty claim ko lagi product ko invoice ra warranty card ko copy customer support ma pathaunuhos. Discounts festive sales ma apply garna milcha. Refund 5-7 din ma complete hunchha.,Warranty claim kasari garne?,Warranty claim ko lagi product ko invoice ra warranty card ko copy customer support ma pathaunuhos.
49,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,"aaja ko meeting ekdam productive thiyo. maile chai afno ideas present garna paye, ani sabai ko feedback pani constructive thiyo. aba chai project timeline lai refine garna kaam thalnu parcha.","Today's meeting was very productive. I got to present my ideas, and everyone's feedback was constructive. Now I need to start refining the project timeline."
50,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,"mero daaju le aaja naya bike kinera ghar lyaune plan gareko thiyo. aba hamile ta bike ko purai color ani design herera ekdam discuss garera decision banako thiyo. jab bike ghar ma aayo, sabai jana excited bhaera usko test ride herda ekdam ramailo lagyo. aba aba yo day mero daaju ko special moment ko lagi memorable bancha jasto lagcha.","Today, my elder brother planned to bring home a new bike. We had discussed and decided on the color and design beforehand. When the bike arrived, everyone was excited, and it was so much fun watching him take it for a test ride. This day feels like it will always be memorable for my brotherâ€™s special moment."
51,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Nepal ko lok sanskriti atyanta samriddha ra bibhinna chha. Yaha anek rajyo, jati, ra bhasa haru milera ek samajik ra sanskritik purnata ko roop ma udaharan diye jata chhan.",Nepal ko lok sanskriti kasto cha?,Nepal ko lok sanskriti atyanta samriddha ra bibhinna chha.
52,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali Language language.,,The scientists conducted a groundbreaking study to understand the long-term effects of air pollution on human health.,Vaigyanik haru le havo pradushan le manav swasthya ma parne dirghakalik prabhav bujhna ek pathbreaking adhyan chalaye.
53,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Nepal ko prasiddha festival Tihar ho, jo Deepawali ko saman ma manincha. Tihar, diyara jalaundai ghar ko safai garne tyohar ho, ra bhai tika, mithi mithai aur rangoli banai jancha.",Nepal ko prasiddha festival ko naam k ho?,"Tihar, Nepal ko prasiddha festival ho."
54,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,paisa kati cha?,How much money do you have?
55,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",Default photo editor use garne tarika.,Tapai kasari smartphone ma screenshot edit garna saknuhuncha?,"Screenshot open garnus, edit icon thichnus, ani cropping ya annotations add garnus."
56,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",20 + 30 + 50,Yo sankhya ko summation garnuhos.,20 + 30 + 50 ko summation 100 ho.
57,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Fitness tracker le IP68 water resistance rating provide garcha, jasle swimming ya heavy rainfall ma use garna milcha. Product ko full specifications fitness tracker page ma mentioned cha.",Fitness tracker ko water resistance kasto cha?,Fitness tracker IP68 water resistant cha.
58,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.","COD Limit Increase: Customers with a good purchase history can request an increase in their cash-on-delivery (COD) limit. Log into your account, go to 'Payment Settings,' and submit a request for COD limit enhancement. Approval is based on past order history and takes 2-3 business days.",Kasari COD limit increase garna sakincha?,COD limit increase garna 'Payment Settings' section ma request submit garnus. Approval 2-3 business days ma huncha.
59,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Lumbini, Rupandehi ma pareko Gautam Buddha ko janma thau ho, jun UNESCO World Heritage Site ho. Yaha Mayadevi Mandir, Ashoka Stambha, ra anek international monasteries chhan. Bhakta ra tourist haru yaha Buddha ko sandesh ra shanti anubhav garna aunchhan.",Lumbini ma tourist haru le ke herna sakchhan?,"Lumbini ma tourist haru le Mayadevi Mandir, Ashoka Stambha, ra international monasteries herna sakchhan."
60,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Product: Lenovo Tab M10, Price: Rs. 19,999, Features: 10.1 Inch, 32GB, WiFi.",Lenovo Tab M10 ma WiFi support cha?,"Ho, Lenovo Tab M10 ma WiFi support cha."
61,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,Hamro goal ta short-term ma achievable cha.,Our goal is achievable in the short term.
62,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Platform le adventure gear jasari trekking poles, waterproof jackets, ra climbing harness offer garcha. Delivery timing 5-9 din samma ho, ra sabai products manufacturer warranty sanga aauchha. Warranty claim process ko lagi invoice ra product photos upload garnu parcha. Size charts ra product usage tips product page ma mentioned huncha.",Climbing harness ko size kasari confirm garna sakchhu?,Climbing harness ko size product page ma available size chart follow garera confirm garna sakchhu.
63,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali Language language.,,"The volunteers distributed food and blankets to the homeless people, bringing smiles to their faces.",Volunteers haru le bina ghar ko manche haru lai khana ra blanket diyera uniharuko mukh ma muskan lyaye.
