category,context,question,response,instruction,prompt,eval_prompt,model_generation
translate, ,"mero bichar ma ta aba kehi badi savings garna suru garna parcha. aba agadi ta dherai expenses aune jasto lagcha, ani planning sabai thik huncha bhanera bishwas cha.","I think I need to start saving more now. It seems like there will be a lot of expenses ahead, but I believe everything will work out with proper planning.","Translate the given text from Roman Nepali language to English language.
","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the given text from Roman Nepali language to English language.

mero bichar ma ta aba kehi badi savings garna suru garna parcha. aba agadi ta dherai expenses aune jasto lagcha, ani planning sabai thik huncha bhanera bishwas cha.<end_of_turn>
<start_of_turn>model
I think I need to start saving more now. It seems like there will be a lot of expenses ahead, but I believe everything will work out with proper planning.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the given text from Roman Nepali language to English language.

mero bichar ma ta aba kehi badi savings garna suru garna parcha. aba agadi ta dherai expenses aune jasto lagcha, ani planning sabai thik huncha bhanera bishwas cha.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the given text from Roman Nepali language to English language.

mero bichar ma ta aba kehi badi savings garna suru garna parcha. aba agadi ta dherai expenses aune jasto lagcha, ani planning sabai thik huncha bhanera bishwas cha.<end_of_turn>
<start_of_turn>model
In my opinion, I need to start saving more now. I feel like there will be a lot of expenses in the future, and I'm confident that I'll be able to plan everything out properly.<eos>"
alpaca, ,Nepal ma education inequality reduce garna kasari sakinchha?,"Remote areas ma access sudharna online education platforms use garna sakinchha, free educational resources provide gar, ra equal scholarship opportunities dina parcha.", ,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Nepal ma education inequality reduce garna kasari sakinchha?<end_of_turn>
<start_of_turn>model
Remote areas ma access sudharna online education platforms use garna sakinchha, free educational resources provide gar, ra equal scholarship opportunities dina parcha.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Nepal ma education inequality reduce garna kasari sakinchha?<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Nepal ma education inequality reduce garna kasari sakinchha?<end_of_turn>
<start_of_turn>model
Education inequality reduce garna government le quality education provide garna focus garna parcha ani private sector lai encourage garna parcha.<eos>"
translate, ,"Aaja ko digital yug ma, Nepal le pani technology ko kshetra ma dherai pugisakyo. Dherai jana le internet ra social media ko upyog gari raheka chhan. Yo desh ko lagi ek ramro avasar ho.","In today's digital age, Nepal has also made significant progress in the field of technology. Many people are using the internet and social media. This is a great opportunity for the country.",Translate the text below from Nepali to English:,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from Nepali to English:
Aaja ko digital yug ma, Nepal le pani technology ko kshetra ma dherai pugisakyo. Dherai jana le internet ra social media ko upyog gari raheka chhan. Yo desh ko lagi ek ramro avasar ho.<end_of_turn>
<start_of_turn>model
In today's digital age, Nepal has also made significant progress in the field of technology. Many people are using the internet and social media. This is a great opportunity for the country.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from Nepali to English:
Aaja ko digital yug ma, Nepal le pani technology ko kshetra ma dherai pugisakyo. Dherai jana le internet ra social media ko upyog gari raheka chhan. Yo desh ko lagi ek ramro avasar ho.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from Nepali to English:
Aaja ko digital yug ma, Nepal le pani technology ko kshetra ma dherai pugisakyo. Dherai jana le internet ra social media ko upyog gari raheka chhan. Yo desh ko lagi ek ramro avasar ho.<end_of_turn>
<start_of_turn>model
In today’s digital age, Nepal is also making strides in the field of technology. Many people are using the internet and social media. This is a good opportunity for the country.<eos>"
open_qa,The stars are shining brightly tonight.,Yo English line ko Nepali anuwaad garnus.,Aaja ko raat tara haru dherai chamkiraheka chhan.,You are a helpful assistant. Answer the given user question.,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Yo English line ko Nepali anuwaad garnus.
Context: The stars are shining brightly tonight.<end_of_turn>
<start_of_turn>model
Aaja ko raat tara haru dherai chamkiraheka chhan.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Yo English line ko Nepali anuwaad garnus.
Context: The stars are shining brightly tonight.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Yo English line ko Nepali anuwaad garnus.
Context: The stars are shining brightly tonight.<end_of_turn>
<start_of_turn>model
Aajai tara haru dherai ramailo chamkiraheka chhan.<eos>"
alpaca,Pashupatinath Temple,Nepal ko ek historical site ko barema lekha.,Pashupatinath Temple Kathmandu ma chha ra Hindu dharm ma ekdamai mahatwapoorn mandir ho. Shiva Bhagwan lai samarpit yo mandir UNESCO World Heritage Site pani ho., ,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Nepal ko ek historical site ko barema lekha.
Context: Pashupatinath Temple<end_of_turn>
<start_of_turn>model
Pashupatinath Temple Kathmandu ma chha ra Hindu dharm ma ekdamai mahatwapoorn mandir ho. Shiva Bhagwan lai samarpit yo mandir UNESCO World Heritage Site pani ho.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Nepal ko ek historical site ko barema lekha.
Context: Pashupatinath Temple<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Nepal ko ek historical site ko barema lekha.
Context: Pashupatinath Temple<end_of_turn>
<start_of_turn>model
Pashupatinath Temple Kathmandu baahuncha. Yo religious place ho, jaha Hindus haru praya huncha. Pashupatinath temple ko architecture ekdamai old ra historical cha.<eos>"
translate, ,The importance of early intervention in addressing mental health issues cannot be overstated.,Mansik swasthya samasyaharuko samadhan ma chhadaiko intervenshan ko mahattva lai bado garera bhana sakinna.,Translate the text below from English to Nepali:,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from English to Nepali:
The importance of early intervention in addressing mental health issues cannot be overstated.<end_of_turn>
<start_of_turn>model
Mansik swasthya samasyaharuko samadhan ma chhadaiko intervenshan ko mahattva lai bado garera bhana sakinna.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from English to Nepali:
The importance of early intervention in addressing mental health issues cannot be overstated.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from English to Nepali:
The importance of early intervention in addressing mental health issues cannot be overstated.<end_of_turn>
<start_of_turn>model
Mental health issues ko lagi early intervention ko importance lai emphasize garna sakinna.<eos>"
translate, ,Kripaya bistari bolnuhos.,Please speak slowly.,Translate the text below from Nepali to English:,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from Nepali to English:
Kripaya bistari bolnuhos.<end_of_turn>
<start_of_turn>model
Please speak slowly.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from Nepali to English:
Kripaya bistari bolnuhos.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from Nepali to English:
Kripaya bistari bolnuhos.<end_of_turn>
<start_of_turn>model
Please speak slowly.<eos>"
RAG,"Kathmandu ma normal delivery ko lagi 1-2 din lagcha. Express delivery ko lagi 1 din lagcha, tara extra charge Rs. 150 ho.",Delivery Kathmandu ma kati samaya ma huncha?,"Kathmandu ma delivery 1-2 din samma huncha, express delivery ko lagi 1 din lagcha.",Answer the following question by looking at the context if context is given.,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Delivery Kathmandu ma kati samaya ma huncha?
Context: Kathmandu ma normal delivery ko lagi 1-2 din lagcha. Express delivery ko lagi 1 din lagcha, tara extra charge Rs. 150 ho.<end_of_turn>
<start_of_turn>model
Kathmandu ma delivery 1-2 din samma huncha, express delivery ko lagi 1 din lagcha.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Delivery Kathmandu ma kati samaya ma huncha?
Context: Kathmandu ma normal delivery ko lagi 1-2 din lagcha. Express delivery ko lagi 1 din lagcha, tara extra charge Rs. 150 ho.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Delivery Kathmandu ma kati samaya ma huncha?
Context: Kathmandu ma normal delivery ko lagi 1-2 din lagcha. Express delivery ko lagi 1 din lagcha, tara extra charge Rs. 150 ho.<end_of_turn>
<start_of_turn>model
Kathmandu ma 1-2 din lagcha, express delivery 1 din ma huncha.<eos>"
RAG,Hamro system le prepaid card support garxau.,prepaid card le payment garna milcha?,Tapai le prepaid card bata sajilo tarikale payment garna saknu hunxa., ,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
prepaid card le payment garna milcha?
Context: Hamro system le prepaid card support garxau.<end_of_turn>
<start_of_turn>model
Tapai le prepaid card bata sajilo tarikale payment garna saknu hunxa.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
prepaid card le payment garna milcha?
Context: Hamro system le prepaid card support garxau.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
prepaid card le payment garna milcha?
Context: Hamro system le prepaid card support garxau.<end_of_turn>
<start_of_turn>model
Tapai le prepaid card ko madhyam bata payment garna sakinchha.<eos>"
RAG,"Product: Sony HT-S40R, Price: 45000, Features: 5.1 Surround Sound, 600W Output, Wireless Rear Speakers",Home theater systems ko dam kati ho?,"Home theater systems ma Sony HT-S40R available cha. Isko price 45000 ho, ra isma 5.1 surround sound, 600W output, ra wireless rear speakers cha.",Answer the question using the context if it is helpful to answer the question.,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Home theater systems ko dam kati ho?
Context: Product: Sony HT-S40R, Price: 45000, Features: 5.1 Surround Sound, 600W Output, Wireless Rear Speakers<end_of_turn>
<start_of_turn>model
Home theater systems ma Sony HT-S40R available cha. Isko price 45000 ho, ra isma 5.1 surround sound, 600W output, ra wireless rear speakers cha.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Home theater systems ko dam kati ho?
Context: Product: Sony HT-S40R, Price: 45000, Features: 5.1 Surround Sound, 600W Output, Wireless Rear Speakers<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Home theater systems ko dam kati ho?
Context: Product: Sony HT-S40R, Price: 45000, Features: 5.1 Surround Sound, 600W Output, Wireless Rear Speakers<end_of_turn>
<start_of_turn>model
Sony HT-S40R ko price 45000 ho. Isma 5.1 surround sound, 600W output, ra wireless rear speakers cha.<eos>"
