category,system,instruction,context,question,response
open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.
",,Yo calculator le 5 + 3 ko value find garera bataunus.,8
open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.
",,Nepal ko rastriya phool ko naam lekhnus.,Laligurans
open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.
",,Tapai kasari English ma 'Namaste' bhanchha bataunus.,Hello
open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.
",,Kathmandu bata Pokhara ko distance km ma lekhnus.,200 km
open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.
",,Mobile ma screenshot kasari linu parcha? Steps lekhnus.,Power button ra volume down button ekai choti thichnus.
open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.
",,Tapai ko phone ko battery percentage kasari check garna sakinchha?,Phone ko settings ma gayera ya notification bar herera.
open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.
",,Nepal ko janajati haru ko naam list garnus.,"Newar, Gurung, Magar, Rai, Limbu, Tharu, Sherpa."
open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.
",,2 x 3 ko multiplication garera jawab dinus.,6
open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.
",,Tapai kasari weather report check garna saknuhunchha?,Mobile app ya website ma search garera.
open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.
",,Nepal ko sabai bhanda lambai nadi ko naam ke ho?,Gandaki Nadi
open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.
",,Basantapur Durbar Square kahaan cha?,Kathmandu ma
open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.
",,Ek din ma kati ghanta huncha?,24 ghanta
open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.
",,Tapai email kasari pathaunuhuncha? Steps bataunus.,"Email app kholnus, compose button click garnus, email lekhnus ani send thichnus."
open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.
",,Nepal ma kati pradesh haru chhan?,7 pradesh haru
open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.
",,Tapai kasari pani purushat gunara bataunus?,1 liter = 1000 milliliter
open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.
",,Nepal ko rastriya animal ko naam lekhnus.,Gai (Cow)
open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.
",,Tapai kasari computer ma folder create garna saknuhuncha?,"Right-click garnus, new select garnus, ani folder choose garnus."
open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.
",,Tapai kasari Nepali font install garna saknuhuncha?,"Font file download garnus, double-click garera install button thichnus."
open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.
",,Yo number 12345 ko ulto lekhnus.,54321
open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.
",,Nepal ko first president ko naam ke ho?,Dr. Ram Baran Yadav
