question,context,response
Redmi Note 9 Pro ko price kati ho?,Redmi Note 9 Pro ek popular smartphone ho. Yesko price 12000 ho. Yesma 128 GB SSD ra Gorilla Glass jastai features available cha.,Redmi Note 9 Pro ko price 12000 ho. Yesma 128 GB SSD ra Gorilla Glass cha.
Samsung Galaxy Tab A ko barema jankari dinu?,"Samsung Galaxy Tab A ek affordable tablet ho. Isko price 25000 ho ra yesma 10.1-inch display, 64 GB storage, ra Android OS jastai features paaincha.","Samsung Galaxy Tab A ko price 25000 ho. Yesma 10.1-inch display, 64 GB storage, ra Android OS cha."
Sony WH-1000XM4 ko barema jankari dinu?,"Sony WH-1000XM4 ek premium wireless headphone ho. Isko price 35000 ho. Yesma noise cancellation, 30 ghanta ko battery life, ra Bluetooth 5.0 support jastai features cha.","Sony WH-1000XM4 ko price 35000 ho. Yesma noise cancellation, 30 ghanta ko battery life, ra Bluetooth 5.0 support cha."
HP Pavilion 15 ko price kati ho?,"HP Pavilion 15 ek versatile laptop ho. Yesko price 60000 ho ra yesma Intel i5 processor, 8 GB RAM, ra 256 GB SSD storage available cha.","HP Pavilion 15 ko price 60000 ho. Yesma Intel i5 processor, 8 GB RAM, ra 256 GB SSD storage available cha."
Canon EOS 1500D camera ko barema jankari dinu?,"Canon EOS 1500D ek DSLR camera ho. Isko price 45000 ho ra yesma 24.1 MP sensor, Full HD video recording, ra Wi-Fi connectivity jastai features paaincha.","Canon EOS 1500D ko price 45000 ho. Yesma 24.1 MP sensor, Full HD video recording, ra Wi-Fi connectivity cha."
Redmi Note 9 Pro ko features ke-ke ho?,"Redmi Note 9 Pro ek budget-friendly smartphone ho. Isko price 12000 ho ra yesma 128 GB SSD, Gorilla Glass, ra 48 MP triple camera setup jastai features available cha.","Redmi Note 9 Pro ko features ho: 128 GB SSD, Gorilla Glass, ra 48 MP triple camera setup."
Samsung Galaxy Buds 2 ko price kati ho?,"Samsung Galaxy Buds 2 ek wireless earbuds ho. Yesko price 15000 ho. Yesma noise cancellation, 5 ghanta battery life, ra Bluetooth 5.2 support cha.","Samsung Galaxy Buds 2 ko price 15000 ho. Yesma noise cancellation, 5 ghanta battery life, ra Bluetooth 5.2 support cha."
Dell Inspiron 15 Laptop available xa?,"Dell Inspiron 15 ek reliable laptop ho. Yesko price 70000 ho. Yesma Intel i7 processor, 16 GB RAM, 512 GB SSD, ra Windows 11 OS cha. Hami sanga Dell Inspiron 15 stock ma available cha.","Dell Inspiron 15 stock ma available cha. Yesko price 70000 ho. Yesma Intel i7 processor, 16 GB RAM, ra 512 GB SSD cha."
Sony Bravia 55-inch TV ko barema jankari dinu?,"Sony Bravia 55-inch TV ek smart TV ho. Yesko price 120000 ho ra yesma 4K Ultra HD display, HDR support, ra Android OS available cha.","Sony Bravia 55-inch TV ko price 120000 ho. Yesma 4K Ultra HD display, HDR support, ra Android OS cha."
Apple Watch Series 7 ko features ke ho?,"Apple Watch Series 7 ek high-end smartwatch ho. Isko price 60000 ho. Yesma retina display, heart rate monitoring, ra 18 ghanta battery life cha.","Apple Watch Series 7 ko features ho: retina display, heart rate monitoring, ra 18 ghanta battery life."
Bose SoundLink Speaker ko price kati ho?,"Bose SoundLink ek portable wireless speaker ho. Isko price 20000 ho ra yesma deep bass, Bluetooth 4.2 support, ra 10 ghanta battery life cha.","Bose SoundLink Speaker ko price 20000 ho. Yesma deep bass, Bluetooth 4.2 support, ra 10 ghanta battery life cha."
Lenovo Legion 5 gaming laptop ko barema jankari dinu?,"Lenovo Legion 5 ek powerful gaming laptop ho. Yesko price 110000 ho. Yesma AMD Ryzen 7 processor, 16 GB RAM, 1 TB SSD, ra NVIDIA RTX 3060 graphics cha.","Lenovo Legion 5 ko price 110000 ho. Yesma AMD Ryzen 7 processor, 16 GB RAM, 1 TB SSD, ra NVIDIA RTX 3060 graphics cha."
Mi Smart Band 6 ko features ke ho?,"Mi Smart Band 6 ek fitness tracker ho. Isko price 4000 ho. Yesma AMOLED display, heart rate monitor, ra 14 din ko battery life cha.","Mi Smart Band 6 ko features ho: AMOLED display, heart rate monitor, ra 14 din ko battery life."
Asus ROG Phone 5 ko price kati ho?,"Asus ROG Phone 5 ek gaming smartphone ho. Yesko price 80000 ho. Yesma 144 Hz AMOLED display, Snapdragon 888 processor, ra 6000 mAh battery cha.","Asus ROG Phone 5 ko price 80000 ho. Yesma 144 Hz AMOLED display, Snapdragon 888 processor, ra 6000 mAh battery cha."
LG Refrigerator 260L ko barema jankari dinu?,"LG Refrigerator 260L ek frost-free refrigerator ho. Isko price 40000 ho. Yesma smart inverter compressor, multi-airflow system, ra toughened glass shelves available cha.","LG Refrigerator 260L ko price 40000 ho. Yesma smart inverter compressor, multi-airflow system, ra toughened glass shelves available cha."
