category,instruction,context,question,response
open_qa,You are a helpful assistant. Answer the given user question.,,Nepali balbalika ko sikai kasari sudhar garna sakincha?,"Nepali balbalika ko sikai sudhar garna quality sikshya, digital tools ko upayog, ra abaashik shivira haru awashyak chha."
RAG,Answer the following question by looking at the context if context is given.,"Product ID: 55667, Reviews: 4.5/5 stars, Positive Feedback: Great quality, Negative Feedback: Slightly expensive.",Yo product ko review k k cha? Product ID: 55667,"Product ID: 55667 ko review 4.5/5 stars cha. Dherai le ramro quality bhaneko cha, tara kehi le ali mahango bhaneko cha."
RAG,Answer the following question by looking at the context if context is given.,"Account update garna, tapai le 'My Account' section ma gayera 'Edit Profile' option select garnu parcha. Tyaha bata tapai le afno details update garna sakinchha.",Mero account kasari update garna sakincha?,Tapai le 'My Account' section ma gayera 'Edit Profile' option select garnu hos ra afno details update garna sakinchha.
translate,"Translate the given text from Roman Nepali language to English language.
",,Yo project ta aba launch hune phase ma cha.,This project is now in the launch phase.
RAG,Answer the following question by looking at the context if context is given.,"Hamro store ma delivery all Nepal available xa, delivery 2-3 days samma lagna sakxa.",Yo product ko delivery huncha?,Delivery all Nepal available xa.
translate,Translate the text below from Nepali to English:, ,Global understanding foster garna ma cultural exchange programs ko importance lai ignore garnu hunna.,The importance of cultural exchange programs in fostering global understanding cannot be ignored.
RAG,Answer the following question by looking at the context if context is given.,"Nepal ko ek prasiddha trek destination Everest Base Camp ho, jo trekking ra mountaineering ko liye duniya bhar ma prasiddha cha. Everest Base Camp, worldâ€™s highest peak ko nazdeek hunchha.",Nepal ko ek prasiddha trek destination k ho?,"Everest Base Camp, Nepal ko ek prasiddha trek destination ho."
open_qa,You are a helpful assistant. Answer the given user question.,,Nepali itihas ma ek pramukh jang ko udaharan ra tyo jang ko prabhav lekhnu.,"Nepali prajatantra ko sthapana ko samayeko jang ek pramukh itihasik ghatna ho, jasle Nepal ko rajnitik samaj ko sudhar garyo."
open_qa,You are a helpful assistant. Answer the given user question.,,Online class ma samasya bhaye kasari samadhan garne?,"Online class ma samasya bhaye ramro internet connection jachnu hos, mute/unmute ani camera settings sahi cha ki hernu hos, ani teacher sanga samasya share garnuhos."
RAG,Answer the following question by looking at the context if context is given.,"Sagarmatha (Mount Everest) sansar ko sabai bhanda uchcho chuchuro ho, jun Nepal ra Tibet ko sima ma chha. Isko uchai 8,848.86 meter ho, jun puri sansar ma sabai bhanda unnat thau ho. 1953 ma Sir Edmund Hillary ra Tenzing Norgay Sherpa le pahilo patak Sagarmatha chadna safal bhaye. Yaha har saal hajaaro touristharu trek garna ra Sagarmatha chadne prayas garna aunchhan. Sagarmatha National Park ma dherai jibiwan haru paine chhan, jasto ki himchituwa, himali bhalu, ra dherai thul-thul bird species. Isko manorama drishya ra Himal ko sundarta le tourist haru ma mahan akarshan bancha. Yaha ko Sherpa samuday, jasko mahan mountaineering gyan chha, Sagarmatha region ma basai garna chhan. UNESCO le 1979 ma Sagarmatha National Park lai World Heritage Site ko rup ma sammalit gareko chha.",Sagarmatha ko mahatwa kina chha?,"Sagarmatha sansar ko sabai bhanda uchcho chuchuro ho, Sir Edmund Hillary ra Tenzing Norgay Sherpa le pahilo patak chadeko, UNESCO World Heritage Site ma sammalit, ra isko himali jibiwan ra drishya le isko mahatwa chha."
open_qa,You are a helpful assistant. Answer the given user question.,,Yoga kasari garne?,"Yoga garna taaza hawa ma halko kapda lagayera basnu hos, meditation ya stretching garera shwas lena ra chodna parcha."
RAG,Answer the following question by looking at the context if context is given.,"Hamro store ma gaming laptops, accessories, ra smartwatches upalabdha chhan. Aaileko festive offer ma gaming laptops ma 12% discount cha.",Hajurko gaming laptops ma festive offer k cha?,Festive offer ma gaming laptops ma 12% discount cha.
RAG,Answer the following question by looking at the context if context is given.,Gadget Store le festive season ma 50% discount cha mobile phones ra accessories ma. Tapai le yeh offer Kathmandu ra Pokhara ma paunuhunchha.,Festive season ma kati discount cha mobile phones ma?,Festive season ma 50% discount cha mobile phones ra accessories ma.
open_qa,You are a helpful assistant. Answer the given user question.,,Bioinformatics bhaneko ke ho? Lekhnuhos.,"Bioinformatics bhaneko biology ani data science ko combination ho. Aba yo DNA analysis, genetic research, ani disease diagnosis ma use huncha."
RAG,Answer the following question by looking at the context if context is given.,Tech Zone Nepal le Dashain ma 20% discount cha home appliances ra electronics ma. Tapai le yeh discount Kathmandu ma paunuhunchha.,Dashain ma kati discount cha electronics ra home appliances ma?,Dashain ma 20% discount cha home appliances ra electronics ma.
translate,Translate the text below from Nepali to English:, ,Culture le manushya ko life ma tradition ra values lai preserve garcha.,Culture preserves traditions and values in life.
open_qa,You are a helpful assistant. Answer the given user question.,"dahi, chura, taara, kalam","Tala vayeka words haru madhye kun odd word ho valid reason sahit vannuhos.
","Kalam khane chij hoina, aru tinwota khane chij hun."
translate,"Translate the given text from Roman Nepali language to English language.
",,Hamro task list ta prioritize garna aba zaruri cha.,It is now necessary to prioritize our task list.
