category,system,instruction,context,question,response
RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu
","Product: Samsung Galaxy S21, Price: Rs. 99,999, Features: 5G, 128GB, Black Color.",Samsung Galaxy S21 ko price k ho?,"Samsung Galaxy S21 ko price Rs. 99,999 ho."
RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu
","Product: HP Pavilion Laptop, Price: Rs. 79,999, Features: Intel i5, 8GB RAM, 512GB SSD.",HP Pavilion Laptop ma k k features cha?,"HP Pavilion Laptop ma Intel i5, 8GB RAM, ani 512GB SSD features cha."
RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu
","Product: Nike Running Shoes, Price: Rs. 12,999, Features: Lightweight, Size: 7-11.",Nike Running Shoes size k k available cha?,Nike Running Shoes ko size 7 dekhi 11 samma available cha.
RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu
","Product: Sony WH-1000XM4, Price: Rs. 39,999, Features: Noise Cancelling, Bluetooth, 30hrs Battery Life.",Sony WH-1000XM4 ko battery life kati ho?,Sony WH-1000XM4 ko battery life 30 ghanta ho.
RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu
","Product: Apple iPhone 14, Price: Rs. 1,39,999, Features: 128GB, 5G, Midnight Color.",Apple iPhone 14 kun color ma available cha?,Apple iPhone 14 Midnight color ma available cha.
RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu
","Product: LG Smart TV, Price: Rs. 59,999, Features: 43 Inch, 4K, WebOS.",LG Smart TV ko resolution k ho?,LG Smart TV ko resolution 4K ho.
RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu
","Product: JBL Flip 5, Price: Rs. 12,499, Features: Waterproof, Bluetooth, 12hrs Battery.",JBL Flip 5 waterproof ho?,JBL Flip 5 waterproof ho.
RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu
","Product: Dell Inspiron Laptop, Price: Rs. 92,000, Features: Intel i7, 16GB RAM, 1TB SSD.",Dell Inspiron Laptop ko RAM kati ho?,Dell Inspiron Laptop ma 16GB RAM cha.
RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu
","Product: Adidas Sports T-Shirt, Price: Rs. 2,499, Features: Dry-Fit, Sizes: S, M, L, XL.",Adidas Sports T-Shirt kun sizes ma cha?,"Adidas Sports T-Shirt S, M, L, XL sizes ma cha."
RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu
","Product: Canon EOS 200D Camera, Price: Rs. 62,999, Features: 24.1MP, DSLR, WiFi.",Canon EOS 200D ko megapixel kati ho?,Canon EOS 200D ko megapixel 24.1MP ho.
RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu
","Product: Redmi Note 12, Price: Rs. 23,499, Features: 6GB RAM, 128GB Storage, 5G.",Redmi Note 12 5G support garcha?,"Ho, Redmi Note 12 5G support garcha."
RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu
","Product: Samsung Refrigerator, Price: Rs. 45,999, Features: 253L, Double Door, Inverter.",Samsung Refrigerator ko capacity kati ho?,Samsung Refrigerator ko capacity 253L ho.
RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu
","Product: Mi Band 7, Price: Rs. 5,999, Features: AMOLED Display, SpO2, 14 Days Battery.",Mi Band 7 ko battery life kati din ko ho?,Mi Band 7 ko battery life 14 din ho.
RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu
","Product: Bose SoundLink Speaker, Price: Rs. 21,499, Features: Bluetooth, 360Â° Sound, Portable.",Bose SoundLink Speaker portable ho?,"Ho, Bose SoundLink Speaker portable ho."
RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu
","Product: Puma Running Shoes, Price: Rs. 9,999, Features: Lightweight, Sizes: 6-12.",Puma Running Shoes ko price kati ho?,"Puma Running Shoes ko price Rs. 9,999 ho."
RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu
","Product: Whirlpool Washing Machine, Price: Rs. 28,999, Features: 7kg, Fully Automatic.",Whirlpool Washing Machine fully automatic ho?,"Ho, Whirlpool Washing Machine fully automatic ho."
RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu
","Product: Lenovo Tab M10, Price: Rs. 19,999, Features: 10.1 Inch, 32GB, WiFi.",Lenovo Tab M10 ma WiFi support cha?,"Ho, Lenovo Tab M10 ma WiFi support cha."
RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu
","Product: Titan Smartwatch, Price: Rs. 12,999, Features: Heart Rate Monitor, GPS, AMOLED Display.",Titan Smartwatch ma GPS feature cha?,"Ho, Titan Smartwatch ma GPS feature cha."
RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu
","Product: OnePlus Nord 2, Price: Rs. 54,999, Features: 8GB RAM, 128GB Storage, 5G.",OnePlus Nord 2 5G support garcha?,"Ho, OnePlus Nord 2 5G support garcha."
RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu
","Product: Sony PS5, Price: Rs. 82,499, Features: 825GB SSD, 4K Gaming.",Sony PS5 ko price kati ho?,"Sony PS5 ko price Rs. 82,499 ho."
RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu
","Product: Philips Air Fryer, Price: Rs. 17,499, Features: 4L Capacity, Rapid Air Technology.",Philips Air Fryer ko capacity kati ho?,Philips Air Fryer ko capacity 4L ho.
RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu
","Product: Samsung Galaxy Tab S7, Price: Rs. 69,999, Features: 11 Inch, 128GB, S Pen.",Samsung Galaxy Tab S7 ma S Pen aaucha?,"Ho, Samsung Galaxy Tab S7 ma S Pen aaucha."
RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu
","Product: Vivo V27, Price: Rs. 45,999, Features: 8GB RAM, 128GB Storage, Color Changing Design.",Vivo V27 ma RAM kati ho?,Vivo V27 ma 8GB RAM cha.
