category,system,instruction,context,question,response
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,The beautiful view from the top of the mountain took my breath away as the sun set over the horizon.,Pahad ko chuchuro bata sundar drishya le mero sans liyo jab surya aakash ko kinara ma dubiyo.
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,The sound of raindrops falling on the roof was calming and made me feel at peace.,Chhat ma pareko pani ka boond haru ko awaj shaanti diyeko thiyo ra ma shital mahsoos gariraheko thiye.
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"Walking through the forest in the early morning, I felt the cool breeze and heard the chirping of birds.",Bihana ko suruwat ma jungle ma hidda maile thado havo mahsoos gare ra chara haru ko chahachahahat sune.
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,The bustling marketplace was filled with the aroma of spices and the chatter of enthusiastic shoppers.,Bhetra bhariko bajar ma masala ko sugandha ra kharidari garnai utsahi manche haruko guff sunna milthyo.
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The serene lake reflected the clear blue sky, surrounded by lush green trees and blooming flowers.","Shital tal le nillo akash ko pratinidhi gareko thiyo, harabhara rukh ra ful haru le ghera pareko thiyo."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"As I walked through the busy streets of the city, I could hear the sounds of honking cars, street vendors shouting to sell their goods, and people chatting about their daily lives.","Jaba ma shaharko byasta galli haru ma hidiraheko thiye, maile gaadi haruko horn bajirako awaj, bato ma samana bechna ko lagi chilaaudai gareka dokandar haru, ra manche haru uniharu ko dainik jivan bare guff gardai sunna sake."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The early morning mist hung over the fields, and the golden rays of the rising sun illuminated the dew-covered grass, creating a magical and serene atmosphere that took my breath away.","Bihana ko suruwat ma kuhiro khet haru ma chhaayeko thiyo, ra ukli rako surya ka sunahri kira haru le shital boon le bharieko ghaans chamkiraheko thiyo, junle ekdam adbhut ra shant vatavaran banayeko thiyo jun le mero sans liyo."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"Standing on the edge of the cliff, I could see the vast ocean stretching out endlessly, its waves crashing against the rocks below and the salty breeze brushing against my face.","Chhuchuro ko kinar ma ubhiera, maile anant samundra laamo samma phailiraheko dekhe, isko tarang haru tala ko chattan ma thaado raha thaado hawa mero mukh ma lagiraheko thiyo."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The aroma of freshly baked bread filled the air as I entered the bakery, and I could see the bakers working tirelessly to create the delicious pastries that everyone loves.","Naya pakkaiko roti ko sugandha hawa bharieko thiyo jaba ma bakery ma pravesh gare, ra maile dekhe ki baker haru garibaksan gari pasal ka mitho pastries banaunda thakeka jasto lagena."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"As the fireworks lit up the night sky, their brilliant colors reflected on the faces of the excited crowd, creating a sense of joy and wonder for everyone present.","Jaba aakash ma pataka haru baje, tyo rakshak rang haru bheed ko khushi bharieko mukha haru ma pratinidhi garyo, jasle sabai ma ananda ra acharjako mahsoos banayo."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The long journey through the winding roads of the mountains was both thrilling and exhausting, with breathtaking views of cascading waterfalls and dense forests lining the path.","Lamo yatra ma ghumau ta ghumau raheko pahad ko bato le romanchak ra thakne anubhav diyo, jahaan ramro jharna haru ra ghanaghat jungle bato bharieko thiyo."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The old library, with its tall wooden shelves and countless dusty books, held a charm that transported me to a different era as I explored its quiet corners.","Puraano library, jahan rukhle banayeko lamo almari haru ra dhulo lagako kitab haru thiyo, usko charm le malai ek aarko yug ma lagyo jaba ma shant kuna haru ma ghumiraheko thiye."
