category,context,question,response
alpaca,I am learning AI.,Nepali ma ek simple sentence translate garera dekhau.,Ma AI sikdai chu.
alpaca,Technology le mancheko jindagi sajilo banaucha.,Yo sentence ko meaning explain garera bhan.,Isko matlab ho ki technology ko madat le mancheko daily life kaam haru easy hunchha.
alpaca,"mango, apple, banana, orange",Yo list sorted order ma arrange gar.,"apple, banana, mango, orange"
alpaca,,Ek joke bhan Nepali ma.,"Ek din computer le joke garecha, ani mouse hasdai bhanya: 'Arey, ta ta mero clickbait jasto cha!'"
alpaca,,Tapai ko naam ke ho bhanne sawal ko answer lekh.,Mero naam chatbot ho.
alpaca,,Nepali ma greeting text lekh.,Namaste! Tapai lai k ko madat chahincha?
alpaca,,3 ota Nepali mitho khana ko naam list gara.,"1. Dal Bhat Tarkari, 2. Momo, 3. Sel Roti"
alpaca,25 + 30 - 15,Yo calculation garera answer lekh.,Answer ho 40.
alpaca,,Ek motivational line bhan.,"Jindagi ma hard work garera aage badhnu, sapana ta pura hunchhan."
alpaca,Tapai ko kaam dherai ramro lagyo.,Ek positive feedback dinus.,Dhanyabad! Ma ta tapai ko hard work bata impress bhaye!
alpaca,Ma Nepali sikdai chu.,Yo sentence ko English ma translation lekha gara.,I am learning Nepali.
alpaca,"45, 67, 23",Yo numbers ko sum lekha gara.,135
alpaca,,Ek motivational line lekhuhos.,Mehnat garne manche kahile hareko mahan dikhdaina.
alpaca,,Nepali geet ko ek line lekha gara.,"Resham firiri, resham firiri, uda uda janchha hau badal jastai."
alpaca,,Ek simple Nepali riddle lekhuhos ra usko uttar pani dinuhos.,Sawal: K kunai pani mukh bata na khayeko hunchha? Uttar: Ghanti.
alpaca,Tapai ko kaam ramro cha.,Tapai ko kaam ko feedback lekhuhos.,Dhanyabad! Ma ta yo kaam lai aru ramro banaucha.
alpaca,,Ek famous Nepali personality ko naam list gara.,"1. Bhanubhakta Acharya, 2. Prithvi Narayan Shah, 3. Laxmi Prasad Devkota"
alpaca,20 ma 15 thapnu ani 10 ghataunu.,Yo problem ko solution step-wise lekha gara.,"Step 1: 20 ma 15 thapnu = 35
Step 2: 35 ma 10 ghataunu = 25"
alpaca,,Nepali bhasha ma ek positive greeting lekhuhos.,Namaste! Tapai ko din subh rahos!
alpaca,,Ek funny line lekhuhos.,"Ma ta yo laptop jasto chu, coffee bina kaam gardina!"
alpaca,"3, 1, 4, 2",Yo list ascending order ma arrange garera lekhuhos.,"1, 2, 3, 4"
alpaca,,Ek healthy lifestyle ko tip lekhuhos.,Daily exercise garnuhos ani healthy diet follow garnuhos.
alpaca,,Nepal ka 5 jana PM ko naam lekhuhos.,"1. BP Koirala, 2. Manmohan Adhikari, 3. Girija Prasad Koirala, 4. Sher Bahadur Deuba, 5. KP Sharma Oli"
alpaca,Pokhara ko barema.,Ek short travel guide Nepali ma lekhuhos.,"Pokhara ma Phewa Taal, Devi’s Fall ra Sarangkot herna milcha. Yo jagah shant ra sundar cha."
