id,question,answer,intent
1,order kasari garne?,kunei product lai add to cart garera checkout maa jane ani payment option select garera order garne.,order
2,product order process kasto cha?,"product page maa gayera 'Add to Cart' button maa click garera checkout maa jane, address ra payment details fill garepachi order complete hunchha.",order
3,online order kasari thapne?,account maa login garera chahine product select garepachi add to cart maa click garera checkout garne.,order
4,product kasari kinne?,"product select garera add to cart maa rakhne, ani checkout maa gayera payment garne.",order
5,kasari order garna milcha?,"tapai le product select garera cart maa add garnuhos, ani checkout maa gayera address ra payment details bharera order garna saknuhuncha.",order
6,online shopping kasari garne?,"online shopping garna, pahila product select garera add to cart garne, ani checkout maa gayera payment complete garera order confirm garne.",order
7,checkout kasari garne?,"checkout garna, add to cart gareko product checkout page maa gayera address ra payment details bharera proceed garne.",order
8,add to cart garepachi kei garne?,"add to cart garepachi, checkout page maa gayera address ra payment details bharera order complete garne.",order
9,cart maa rakhne bhandaa pachi ke garne?,"cart maa rakhne bhandaa pachi, checkout button maa click garera address ra payment details bharera order garne.",order
10,order kasari thapne?,"pahila product select garera add to cart maa rakhne, ani checkout maa gayera order thapne.",order
11,website bata kasari order garne?,"website bata order garna, pahila product select garera add to cart garne ani checkout maa gayera order complete garne.",order
12,order confirm kasari huncha?,order confirm garna checkout page maa gayera address ra payment details bharera place order button maa click garne.,order
13,product checkout kasari garne?,"product checkout garna, add to cart garepachi checkout page maa gayera address ra payment details bharera checkout garne.",order
14,order process kasari cha?,"order process ma pahila product select garera add to cart garne, ani checkout maa gayera address ra payment details bharera order complete garne.",order
15,order complete kasari garne?,order complete garna checkout page maa gayera address ra payment details bharera place order button maa click garne.,order
16,online order kasari thapchhu?,"online order thapna, product select garera add to cart maa click garne, ani checkout maa gayera order thapne.",order
17,product order kasari garne?,"product order garna, product detail page maa gayera add to cart maa click garne ani checkout maa gayera order garne.",order
18,checkout process kasari huncha?,checkout process ma add to cart gareko product checkout page maa gayera address ra payment details bharera proceed to checkout button maa click garne.,order
19,online shopping kasari thapne?,"online shopping thapna, pahila product select garera add to cart maa click garne, ani checkout maa gayera payment complete garera order confirm garne.",order
20,add to cart garepachi checkout kasari garne?,"add to cart garepachi, checkout page maa gayera address ra payment details bharera checkout garne.",order
21,product select garepachi kasari order garne?,"product select garepachi, add to cart garera checkout page maa gayera address ra payment details bharera order garne.",order
22,order kasari confirm huncha?,order confirm huncha checkout page maa address ra payment details bharera place order button maa click garepachi.,order
23,online shopping kasari suru garne?,"online shopping suru garna, product browse garera add to cart maa rakhne, ani checkout maa gayera payment garera order complete garne.",order
24,order confirmation ko process kasto cha?,order confirmation ko process maa checkout page maa address ra payment details bharera place order button maa click garne parcha.,order
25,order place kasari garne?,"order place garna, pahila product add to cart garera checkout maa gayera payment complete garera order place garne.",order
26,product order process kasari huncha?,"product order process maa, product add to cart garera checkout maa gayera address ra payment details bharera order complete huncha.",order
27,online shopping ko process kasari huncha?,"online shopping ko process maa product select garera add to cart garne, checkout maa gayera address ra payment details bharera order confirm garne.",order
28,order page kasari janey?,"order page janey, add to cart garepachi checkout option maa click garera jane.",order
29,product order kasari thapchhu?,"product order thapna, product detail page maa gayera add to cart garera checkout maa gayera payment details bharera order complete garne.",order
30,add to cart garepachi ke garne?,"add to cart garepachi, checkout page maa gayera address ra payment details bharera order complete garne.",order
31,checkout page kasari janey?,"checkout page janey, cart maa rakhiyeko product checkout option maa click garera jane.",order
32,order garna ko lagi ki garne?,"order garna ko lagi, product lai add to cart garera checkout page maa gayera address ra payment details bharera order garne.",order
33,checkout kasari complete garne?,"checkout complete garna, checkout page maa address ra payment details bharera proceed button maa click garne.",order
34,product order garna kasari suru garne?,"product order garna suru garna, product select garera add to cart maa click garne ani checkout maa gayera payment garne.",order
35,order confirm huncha ki hunna?,"order confirm huncha, checkout page maa address ra payment details bharera place order button maa click garepachi.",order
36,product order kasari thapchha?,"product order thapna, product detail page maa gayera add to cart maa click garne ani checkout maa gayera order complete garne.",order
37,order ko lagi checkout kasari garne?,"order ko lagi checkout garna, checkout page maa gayera address ra payment details bharera proceed button maa click garne.",order
38,order ko process kasari huncha?,"order ko process maa, product select garera add to cart garne ani checkout maa gayera address ra payment details bharera order complete huncha.",order
39,online order confirm kasari garne?,"online order confirm garna, checkout page maa gayera address ra payment details bharera place order button maa click garne.",order
40,product checkout ko process kasari cha?,"product checkout ko process maa, product add to cart garepachi checkout page maa gayera address ra payment details bharera checkout garne.",order
41,online order process kasari cha?,"online order process maa, product select garera add to cart garne, checkout maa gayera address ra payment details bharera order complete garne.",order
42,checkout garna ko lagi ki garne?,"checkout garna ko lagi, cart maa product rakhera checkout page maa gayera address ra payment details bharera proceed garne.",order
43,online order confirm kasari hunchha?,online order confirm hunchha checkout page maa address ra payment details bharera place order button maa click garepachi.,order
44,online shopping kasari garne?,"online shopping garna, pahila product select garera add to cart maa rakhne, ani checkout maa gayera payment garera order complete garne.",order
45,product order process kasari huncha?,"product order process maa, product select garera add to cart garne ani checkout maa gayera address ra payment details bharera order complete garne.",order
46,order confirm kasari garne?,"order confirm garna, checkout page maa address ra payment details bharera place order button maa click garne.",order
47,online shopping ko lagi ki garne?,"online shopping ko lagi, pahila product select garera add to cart maa rakhne ani checkout maa gayera order garne.",order
48,order kasari place garne?,"order place garna, product add to cart garepachi checkout page maa gayera address ra payment details bharera place order button maa click garne.",order
49,online order ko process kasari cha?,"online order ko process maa, product select garera add to cart garne ani checkout maa gayera address ra payment details bharera order complete garne.",order
50,order place kasari garne?,"order place garna, product select garera add to cart garne ani checkout maa gayera address ra payment details bharera order confirm garne.",order
51,online shopping kasari start garne?,"online shopping start garna, product browse garera add to cart maa rakhne ani checkout maa gayera payment garera order complete garne.",order
52,order confirm kasari huncha?,order confirm huncha checkout page maa address ra payment details bharera place order button maa click garepachi.,order
53,product order kasari garne?,"product order garna, product detail page maa gayera add to cart maa click garera checkout page maa gayera payment garne.",order
54,online shopping ko process kasari cha?,"online shopping ko process maa product select garera add to cart garne, checkout maa gayera address ra payment details bharera order confirm garne.",order
55,order garna ko lagi checkout kasari garne?,"order garna ko lagi checkout garna, cart maa rakhiyeko product checkout page maa gayera address ra payment details bharera proceed garne.",order
56,checkout page kasari janey?,"checkout page janey, add to cart gareko product checkout option maa click garera jane.",order
57,order kasari confirm garne?,"order confirm garna, checkout page maa address ra payment details bharera place order button maa click garne.",order
58,online order process kasari huncha?,"online order process maa, product select garera add to cart garne ani checkout maa gayera address ra payment details bharera order complete garne.",order
59,order complete kasari garne?,"order complete garna, checkout page maa address ra payment details bharera proceed button maa click garne.",order
60,online shopping kasari start garne?,"online shopping start garna, product browse garera add to cart maa rakhne ani checkout maa gayera payment garera order complete garne.",order
61,product order process kasari huncha?,"product order process maa, product select garera add to cart garne ani checkout maa gayera address ra payment details bharera order complete garne.",order
62,online order confirm kasari garne?,"online order confirm garna, checkout page maa gayera address ra payment details bharera place order button maa click garne.",order
63,order kasari place garne?,"order place garna, product add to cart garepachi checkout page maa gayera address ra payment details bharera place order button maa click garne.",order
64,online shopping ko lagi ki garne?,"online shopping ko lagi, pahila product select garera add to cart maa rakhne ani checkout maa gayera order garne.",order
65,order kasari confirm huncha?,order confirm huncha checkout page maa address ra payment details bharera place order button maa click garepachi.,order
66,product order kasari thapchhu?,"product order thapna, product detail page maa gayera add to cart maa click garera checkout maa gayera payment details bharera order complete garne.",order
67,order page kasari janey?,"order page janey, add to cart garepachi checkout option maa click garera jane.",order
68,online order confirm kasari huncha?,online order confirm huncha checkout page maa address ra payment details bharera place order button maa click garepachi.,order
69,order garna ko lagi ki garne?,"order garna ko lagi, product lai add to cart garera checkout page maa gayera address ra payment details bharera order garne.",order
70,product order kasari garne?,"product order garna, product detail page maa gayera add to cart maa click garera checkout page maa gayera payment garne.",order
71,order process kasari cha?,"order process maa pahila product select garera add to cart garne, ani checkout maa gayera address ra payment details bharera order complete garne.",order
72,checkout page kasari janey?,"checkout page janey, cart maa rakhiyeko product checkout option maa click garera jane.",order
73,online order process kasari huncha?,"online order process maa, product select garera add to cart garne ani checkout maa gayera address ra payment details bharera order complete garne.",order
74,order confirm kasari garne?,"order confirm garna, checkout page maa address ra payment details bharera place order button maa click garne.",order
75,online shopping ko process kasari huncha?,"online shopping ko process maa product select garera add to cart garne, checkout maa gayera address ra payment details bharera order confirm garne.",order
76,product order process kasari huncha?,"product order process maa, product select garera add to cart garne ani checkout maa gayera address ra payment details bharera order complete garne.",order
77,checkout kasari complete garne?,"checkout complete garna, checkout page maa address ra payment details bharera proceed button maa click garne.",order
78,order complete kasari garne?,order complete garna checkout page maa address ra payment details bharera place order button maa click garne.,order
79,online order ko process kasari cha?,"online order ko process maa, product select garera add to cart garne ani checkout maa gayera address ra payment details bharera order complete garne.",order
80,order garna ko lagi checkout kasari garne?,"order garna ko lagi checkout garna, cart maa rakhiyeko product checkout page maa gayera address ra payment details bharera proceed garne.",order
81,online shopping kasari garne?,"online shopping garna, pahila product select garera add to cart maa rakhne, ani checkout maa gayera payment garera order complete garne.",order
82,product order kasari thapchha?,"product order thapna, product detail page maa gayera add to cart maa click garne ani checkout maa gayera order complete garne.",order
83,order kasari place garne?,"order place garna, product add to cart garepachi checkout page maa gayera address ra payment details bharera place order button maa click garne.",order
84,online order confirm kasari garne?,"online order confirm garna, checkout page maa gayera address ra payment details bharera place order button maa click garne.",order
85,order kasari confirm huncha?,order confirm huncha checkout page maa address ra payment details bharera place order button maa click garepachi.,order
86,product checkout ko process kasari cha?,"product checkout ko process maa, product add to cart garepachi checkout page maa gayera address ra payment details bharera checkout garne.",order
87,order page kasari janey?,"order page janey, add to cart garepachi checkout option maa click garera jane.",order
88,product order kasari garne?,"product order garna, product detail page maa gayera add to cart maa click garera checkout page maa gayera payment garne.",order
89,order ko lagi checkout kasari garne?,"order ko lagi checkout garna, checkout page maa gayera address ra payment details bharera proceed to checkout button maa click garne.",order
90,product order process kasari huncha?,"product order process maa, product select garera add to cart garne ani checkout maa gayera address ra payment details bharera order complete garne.",order
91,order confirm huncha ki hunna?,"order confirm huncha, checkout page maa address ra payment details bharera place order button maa click garepachi.",order
92,online shopping ko lagi ki garne?,"online shopping ko lagi, pahila product select garera add to cart maa rakhne ani checkout maa gayera order garne.",order
93,online order process kasari huncha?,"online order process maa, product select garera add to cart garne ani checkout maa gayera address ra payment details bharera order complete garne.",order
94,order kasari confirm garne?,"order confirm garna, checkout page maa address ra payment details bharera place order button maa click garne.",order
95,checkout kasari complete garne?,"checkout complete garna, checkout page maa address ra payment details bharera proceed button maa click garne.",order
96,order complete kasari garne?,"order complete garna, checkout page maa address ra payment details bharera place order button maa click garne.",order
97,order kasari place garne?,"order place garna, product add to cart garepachi checkout page maa gayera address ra payment details bharera place order button maa click garne.",order
98,online shopping kasari start garne?,"online shopping start garna, product browse garera add to cart maa rakhne ani checkout maa gayera payment garera order complete garne.",order
99,order confirm kasari huncha?,order confirm huncha checkout page maa address ra payment details bharera place order button maa click garepachi.,order
100,product order kasari thapchhu?,"product order thapna, product detail page maa gayera add to cart maa click garera checkout maa gayera payment details bharera order complete garne.",order
101,product order garne tarika bataunu hos na?,"product order garne tarika, pahila product lai add to cart garne ani checkout maa gayera address ra payment details bharera order garne.",order
102,order confirmation email kasari aauxa?,"order confirmation email, checkout maa order place garepachi register gareko email maa aauxa.",order
103,order kasari cancel garne?,"order cancel garna, order history maa gayera cancel order button maa click garne.",order
104,order confirmation text kasari aauxa?,"order confirmation text, checkout maa order place garepachi register gareko mobile number maa aauxa.",order
105,order kasari track garne?,"order track garna, order history maa gayera track order button maa click garne.",order
106,order garna kunei specific time cha?,"order garna specific time chaina, 24/7 online order garna saknuhunchha.",order
107,order kasari update garne?,"order update garna, order history maa gayera edit order button maa click garne.",order
108,order kasari view garne?,"order view garna, order history maa gayera view order details button maa click garne.",order
109,order kasari repeat garne?,"order repeat garna, order history maa gayera repeat order button maa click garne.",order
110,kunei offer cha order garna?,"offer cha ki chaina herna ko lagi, website ko offer section check garnu hos.",order
111,order garna payment options k k cha?,"payment options maa credit card, debit card, net banking, ra cash on delivery cha.",order
112,order kasari modify garne?,"order modify garna, order history maa gayera modify order button maa click garne.",order
113,product lai wishlist maa kasari add garne?,"product lai wishlist maa add garna, product detail page maa gayera add to wishlist button maa click garne.",order
114,order kasari confirm garne?,"order confirm garna, checkout page maa address ra payment details bharera place order button maa click garne.",order
115,order garna coupon kasari apply garne?,"order garna coupon apply garna, checkout page maa coupon code section maa coupon code type garera apply button maa click garne.",order
116,order kasari verify garne?,"order verify garna, checkout page maa address ra payment details verify garera place order button maa click garne.",order
117,order kasari process huncha?,"order process huncha, checkout page maa address ra payment details bharera place order button maa click garepachi.",order
118,order ko confirmation email kasari aauxa?,"order ko confirmation email, checkout maa order place garepachi register gareko email maa aauxa.",order
119,order kasari cancel garna sakinchha?,"order cancel garna sakinchha, order history maa gayera cancel order button maa click garera.",order
120,order status kasari check garne?,"order status check garna, order history maa gayera order status button maa click garne.",order
121,order confirm hunchha ki hunna?,order confirm hunchha checkout page maa address ra payment details bharera place order button maa click garepachi.,order
122,order kasari suru garne?,"order suru garna, pahila product select garera add to cart garne ani checkout maa gayera payment garera order complete garne.",order
123,order kasari manage garne?,"order manage garna, order history maa gayera order details edit garne, cancel garne ya track garne.",order
124,order update huncha ki hunna?,"order update huncha, order history maa gayera modify order button maa click garepachi.",order
125,order process kasari start garne?,"order process start garna, product select garera add to cart maa rakhne ani checkout maa gayera payment garera order complete garne.",order
126,product kasari order garne?,"product order garna, product detail page maa gayera add to cart maa click garera checkout page maa gayera payment garne.",order
127,order kasari confirm huncha?,order confirm huncha checkout page maa address ra payment details bharera place order button maa click garepachi.,order
128,product order kasari thapne?,"product order thapna, product detail page maa gayera add to cart maa click garera checkout maa gayera payment details bharera order complete garne.",order
129,order page kasari pauxa?,"order page janey, add to cart garepachi checkout option maa click garera jane.",order
130,order garna ko lagi ki garne?,"order garna ko lagi, product lai add to cart garera checkout page maa gayera address ra payment details bharera order garne.",order
131,checkout kasari complete garne?,"checkout complete garna, checkout page maa address ra payment details bharera proceed button maa click garne.",order
132,order suru kasari garne?,"order suru garna, product select garera add to cart maa click garne ani checkout maa gayera payment garne.",order
133,order confirm hunchha ki?,"order confirm hunchha, checkout page maa address ra payment details bharera place order button maa click garepachi.",order
134,product order kasari thapchha?,"product order thapna, product detail page maa gayera add to cart maa click garne ani checkout maa gayera order complete garne.",order
135,order ko lagi checkout kasari garne?,"order ko lagi checkout garna, checkout page maa gayera address ra payment details bharera proceed button maa click garne.",order
136,order kasari huncha?,"order huncha, product add to cart garera checkout maa gayera address ra payment details bharera order complete garepachi.",order
137,online order confirm kasari hunchha?,online order confirm hunchha checkout page maa address ra payment details bharera place order button maa click garepachi.,order
138,order kasari process garne?,"order process garna, product add to cart garera checkout maa gayera address ra payment details bharera order complete garne.",order
139,online order kasari confirm garne?,"online order confirm garna, checkout page maa gayera address ra payment details bharera place order button maa click garne.",order
140,order process huncha ki?,"order process huncha, checkout page maa address ra payment details bharera place order button maa click garepachi.",order
141,order kasari confirm garna sakinchha?,"order confirm garna sakinchha, checkout page maa address ra payment details bharera place order button maa click garepachi.",order
