category,system,instruction,context,question,response
summary,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","Summarize the following text in Roman Nepali
",,Nepal ko himal parvat haru sansar bhari prasiddha chhan. Prati barsa hajaaron paryatak haru yaha aai rahanchhan.,"Nepal ko himal prasiddha chhan, ra hajaaron paryatak yaha aauchhan."
summary,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","Summarize the following text in Roman Nepali
",,Kathmandu sahar ma dharohar haru ko samrakshan avashyak chha. Yasto dharohar haru ko moolya sanskritik ra aaitihasik rup ma mahattopurna chha.,"Kathmandu ko dharohar ko samrakshan jaruri chha, yo sanskritik ra aaitihasik rup ma mahattopurna chha."
summary,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","Summarize the following text in Roman Nepali
",,Pokhara sahar sundar taal haru le ghereko chha. Machhapuchhre himal ko chhaya taal ma dekhna sakinchha.,Pokhara taal haru ra Machhapuchhre himal ko sundarta le ghereko chha.
summary,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","Summarize the following text in Roman Nepali
",,Nepali lok geet haru le hamro sanskriti ra parampara ko chhabi prastut garchha. Yasto geet haru deshko moolya ra pahichan ho.,Nepali lok geet sanskriti ra pahichan ko chhabi ho.
summary,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","Summarize the following text in Roman Nepali
",,"Chitwan National Park ma anek prakar ka jangali janawar haru baschhan. Tiger, ganda ra bakhri jasto durlabh janawar haru pani dekhna milchha.","Chitwan ma tiger, ganda jasto durlabh janawar haru baschhan."
summary,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","Summarize the following text in Roman Nepali
",,Lumbini Gautam Buddha ko janmabhumi ho. Yo sthal ma anek aaitihasik avashesh haru dekhna sakinchha.,Lumbini Buddha ko janmabhumi ho ra aaitihasik avashesh haru chhan.
summary,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","Summarize the following text in Roman Nepali
",,Nepal ek krishi pradhan desh ho. Yahako adhikansh janasankhya krishi karma ma samlagna chha.,"Nepal krishi pradhan desh ho, ra adhikansh manchhe krishi ma lageka chhan."
summary,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","Summarize the following text in Roman Nepali
",,Sagarmatha sansar ko sabai bhanda uncha himal ho. Yo Nepal ko gaurav ko pratik ho.,Sagarmatha sansar ko uncha himal ra Nepal ko gaurav ho.
summary,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","Summarize the following text in Roman Nepali
",,"Nepal ma anek jati, bhasa ra dharma haru ko mel chha. Yo desh ekata ko sundar udaharan ho.","Nepal jati, bhasa, dharma ko ekata ko desh ho."
summary,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","Summarize the following text in Roman Nepali
",,"Nepali kalakar haru le sanskritik kshetra ma mahan yogdan diyechhan. Film, geet, ra nach ma pani mahatwapurna pragati bhayeko chha.",Nepali kalakar sanskritik kshetra ma mahatwapurna yogdan dinchhan.
summary,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","Summarize the following text in Roman Nepali
",,Nepali khana dal bhat tarkari le prasiddha chha. Yo swadist ra poshan yukta ho.,Nepali dal bhat tarkari swadist ra poshan yukta ho.
summary,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","Summarize the following text in Roman Nepali
",,Pashupatinath mandir sansar bhari prasiddha haiindu tirtha ho. Yo mandir Kathmandu ma chha.,Pashupatinath mandir prasiddha haiindu tirtha Kathmandu ma chha.
summary,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","Summarize the following text in Roman Nepali
",,Nepal ma chaunri ko kapi lai gundruk banayera khancha. Gundruk Nepali parikar ma ek anivarya dish ho.,Gundruk Nepali parikar ma anivarya dish ho.
summary,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","Summarize the following text in Roman Nepali
",,Manang ma paryatak haru ko lagi anek adventure karyakram haru milchhan. Trekking ra hiking yaha ko mukhya karyakram ho.,Manang ma trekking ra hiking ko adventure karyakram chhan.
summary,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","Summarize the following text in Roman Nepali
",,Nepali sanskriti ma lok katha haru le mahatwapurna sthaan rakheko chha. Yo hami nepali haru ko itihas sang sambandhit chha.,Nepali sanskriti ma lok katha itihas sang sambandhit chha.
