,text,intent
0, malai 5 ota Redmi ko mobile order garna man cha,order_product
1, malai 1 ta Redmi ko mobile order garna man cha,order_product
2, Apple ko Iphone 5 ota order garna man cha,order_product
3, ma 2 ta Casio ko calculator order garxu,order_product
4, mero order 1 ota Xiaomi ko Redmi mobile ho,order_product
5, malai 9 ota Apple ko Iphone mobile Kathmandu ma delivery,order_product
6," 1 ota Sony ko TV, delivery location Dharan",order_product
7," 2 ota mobile, delivery location Sunsari",order_product
8, 1 ota calculator delivery location Dharan,order_product
9, 3 ta Sony ko TV delivery location Kathmandu,order_product
10, Sony ko TV 9 ota Kathmandu ma delivery,order_product
11, Samsung Galaxy s21 3 ota Dharan ma delivery garidinu,order_product
12, ma Xiaomi ko Redmi mobile 1 ta Kathmandu ma order garxu,order_product
13, Sunsari ma Macbook ko laptop delivery garidinu,order_product
14, mero order Sunsai ma Macbook 2 ota delivery garidinu,order_product
15, mero order ho Macbook ko laptop 2 ota delivery location Dharan,order_product
16, maile garne order 2 ta Redmi ko mobile Dharan location,order_product
17, Dharan ma 2 ta Sony ko TV delivery gardinu,order_product
18, ma 2 ta TV order garna chahanxu,order_product
19, malai mobile order garnu thiyo Redmi Note 9 pro cha,order_product
20, Redmi ko mobile 9 ota Kathmandu ma delivery,order_product
21, Casio calculator 9 items Kathmandu delivery location,order_product
22, malai product order garna man cha,order_product
23, ma product order garna chahanxu,order_product
24, malai Redmi mobile kinna man cha,order_product
25, ma mobile order garna chahanxu,order_product
26, malai laptop order garna man lagyo,order_product
27, ma Redmi ko mobile order garna man lagyo,order_product
28, mero order Casio ra Redmi ko mobile ho,order_product
29, ma product order garna chahanxu,order_product
30, ma saman order garna chahanxu,order_product
31, malai product order garna man lagyo,order_product
32, ma product order garna chahanxu,order_product
33, malai Apple ko Iphone order garxu,order_product
34, ma product order garna chahanxu,order_product
35, ma order garne,order_product
36, malai order garna man lagyo,order_product
37, malai product order garnu cha,order_product
38, ma saman kinne,order_product
39, malai product order garna man lagyo,order_product
40, ma product order garna chahanchu,order_product
41, malai product order garnu cha,order_product
42, ma order garna chahanxu,order_product
43, order kasari garne,order_product
44, ma kasari order garnu,order_product
45, malai product kinna man lagyo,order_product
46, ma order garne saman,order_product
47, order garna chahanchu,order_product
48, malai saman order garna man lagyo,order_product
49, malai order garna help garnuhos,order_product
50, mero order ko status baare bujhnu thiyo,order_status_inquiry
51, maile gareko order ko jankari dinu,order_status_inquiry
52, malai mero order ko status bujhnu cha,order_status_inquiry
53, order status ke ho,order_status_inquiry
54, malai mero order ko jankari dinu,order_status_inquiry
55, order track garnu paryo,order_status_inquiry
56, mero saman kaha aai pugyo jankari dinu,order_status_inquiry
57, mero order ko jankari dinu,order_status_inquiry
58, mero order ko barema janna chahanxu,order_status_inquiry
59, mero order kaile samma aaucha,order_status_inquiry
60, ma mero saman order kaile pauchu,order_status_inquiry
61, mero order kaha aai pugyo,order_status_inquiry
62, maile gareko saman order kaha aai pugyo,order_status_inquiry
63, malai mero saman ko baarema janna man cha,order_status_inquiry
64, mero order status ko barema jankari pauna man lagyo,order_status_inquiry
65, mero order ko barema jankari dinu,order_status_inquiry
66, mero order track garidinu,order_status_inquiry
67, ma mero order track garna chahanxu,order_status_inquiry
68, mero order status ke ho,order_status_inquiry
69, mero order ko barema jankari dinu,order_status_inquiry
70, mero order kaha cha,order_status_inquiry
71, order ko status track garna chahanchu,order_status_inquiry
72, order ko jankari lina man lagyo,order_status_inquiry
73, mero order ko status ke ho,order_status_inquiry
74, order tracking garne,order_status_inquiry
75, order track garna man lagyo,order_status_inquiry
76, mero order tracking garidinu,order_status_inquiry
77, mero order kaha cha track garidinu,order_status_inquiry
78, maile gareko order ko status vanidinu,order_status_inquiry
79, mero order kaile samma aaucha,order_status_inquiry
80, order kaile samma aaucha,order_status_inquiry
81, order ko status ke ho kaile samma aaucha,order_status_inquiry
82, mero order kaile pauchu,order_status_inquiry
83, ma mero order kaile samma pauchu,order_status_inquiry
84, malai mero order ko barema bujhnu man lagyo,order_status_inquiry
85, malai mero order track garna man cha,order_status_inquiry
86, mero order ko jankari dinu,order_status_inquiry
87, malai order status janna man cha,order_status_inquiry
88, mero order kaha samma aayo,order_status_inquiry
89, order ko status herna man lagyo,order_status_inquiry
